city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,address,longitude,latitude,avg_price
Gapyeong,124589,2015,119078,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,465,5,행정,답,dap,1,84,1948800,1948800,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-12-16,Y,매입,,2008-01-17,경기도 가평군 설악면 묵안리 465 - 5,127.5239,37.6091,23200
Gapyeong,124590,2015,85774,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,466,3,행정,도로,road,1,109,294300,294300,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-02-18,Y,매입,도  로,2007-07-18,경기도 가평군 설악면 묵안리 466 - 3,127.5239,37.6102,2700
Gapyeong,124593,2015,84308,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,가평읍,복장리,132,2,행정,도로,road,1,38,90800,90800,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1998-12-02,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 132 - 2,127.5051,37.7359,2389.473684
Gapyeong,124594,2015,84181,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,복장리,134,1,행정,도로,road,1,106,1113000,1113000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1994-09-27,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 1,127.5107,37.7426,10500
Gapyeong,124595,2015,84309,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,가평읍,복장리,134,1,행정,도로,road,1,515,3090000,3090000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1998-12-30,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 1,127.5107,37.7426,6000
Gapyeong,124596,2015,84182,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,복장리,134,2,행정,도로,road,1,26,273000,273000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1994-09-27,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 2,127.5107,37.7425,10500
Gapyeong,124597,2015,84183,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,복장리,134,3,행정,전,jeon,1,7,73500,73500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1993-11-30,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 3,127.5108,37.7426,10500
Gapyeong,124598,2015,84313,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,가평읍,복장리,134,3,행정,도로,road,1,397,314400,314400,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1998-12-02,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 3,127.5108,37.7426,791.9395466
Gapyeong,124599,2015,84184,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,복장리,134,5,행정,답,dap,1,169,1774500,1774500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1993-11-30,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 5,127.5108,37.7425,10500
Gapyeong,124600,2015,84314,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,가평읍,복장리,134,6,행정,도로,road,1,198,159800,159800,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1998-12-02,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 134 - 6,127.5059,37.7356,807.0707071
Gapyeong,124601,2015,84257,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,복장리,413,0,행정,하천,river,1,291,1152400,1152400,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1998-12-02,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 413 - 0,127.5054,37.7337,3960.137457
