city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,비고,address,longitude,latitude,avg_price
Namyangju,94736,2015,92179,토지,행정재산,공공용재산,,산,경기도 남양주시,진건읍,사능리,73,23,행정,road,road,1,668,1135600,1135600,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,2005-06-07,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2508706],경기도 남양주시 진건읍 사능리 73 - 23,127.1766,37.6507,1700
Namyangju,42038,2015,63449,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,화도읍,가곡리,3,2,행정,road,road,1,403,685100,685100,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1989-05-04,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2509046],경기도 남양주시 화도읍 가곡리 3 - 2,127.3199,37.6891,1700
Namyangju,115567,2015,62351,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,수동면,입석리,472,6,행정,road,road,1,337,572900,572900,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1991-04-16,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507948],경기도 남양주시 수동면 입석리 472 - 6,127.3238,37.7133,1700
Namyangju,115566,2015,62350,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,수동면,입석리,472,2,행정,road,road,1,255,433500,433500,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1991-12-24,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2507947],경기도 남양주시 수동면 입석리 472 - 2,127.3237,37.7136,1700
Namyangju,94760,2015,63109,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,진건읍,사능리,73,9,행정,road,road,1,201,341700,341700,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1986-02-18,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2508706],경기도 남양주시 진건읍 사능리 73 - 9,127.1767,37.6506,1700
Namyangju,41989,2015,63452,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,화도읍,가곡리,3,6,행정,road,road,1,146,248200,248200,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1989-05-04,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2509049],경기도 남양주시 화도읍 가곡리 3 - 6,127.3198,37.6891,1700
Namyangju,113753,2015,63351,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,진건읍,진관리,6,11,행정,임야,forest,1,67,113900,113900,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1986-07-05,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2508948],경기도 남양주시 진건읍 진관리 6 - 11,127.1777,37.6486,1700
Namyangju,3526,2015,63632,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,화도읍,묵현리,152,5,행정,road,road,1,998,1636720,1636720,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1975-11-03,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2509229],경기도 남양주시 화도읍 묵현리 152 - 5,127.3025,37.6703,1640
Namyangju,20450,2015,63583,토지,행정재산,공공용재산,일반회계,산,경기도 남양주시,화도읍,마석우리,31,2,행정,road,road,1,879,1441560,1441560,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1993-05-21,Y,매입,도  로,2007-07-18,[토지분류코드:GA211][관리dae장코드:2509180],경기도 남양주시 화도읍 마석우리 31 - 2,127.3187,37.6558,1640
Namyangju,103200,2015,61607,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,220,1,행정,road,road,1,76,124150,124150,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-07-12,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507204],경기도 남양주시 별내면 광jeon리 220 - 1,127.1265,37.6968,1633.552632
Namyangju,103220,2015,61618,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,237,5,행정,jeon,jeon,1,375,612580,612580,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1983-03-28,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507215],경기도 남양주시 별내면 광jeon리 237 - 5,127.128,37.6955,1633.546667
Namyangju,108380,2015,61626,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,259,9,행정,road,road,1,559,913140,913140,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-30,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507223],경기도 남양주시 별내면 광jeon리 259 - 9,127.1296,37.6936,1633.52415
Namyangju,103218,2015,61616,토지,행정재산,공공용재산,일반회계,일반,경기도 남양주시,별내면,광jeon리,236,6,행정,jeon,jeon,1,703,1148360,1148360,경기도 건설국 road정책과,,경기도 남양주시 교통road국 road정비과,1982-08-16,Y,매입,도  로,2007-07-18,[토지분류코드:GA201][관리dae장코드:2507213],경기도 남양주시 별내면 광jeon리 236 - 6,127.1276,37.6959,1633.513514
