"","sido","sigungu","total","grade1","grade2","grade2","out_A","out_B","out_C"
"248","경남","사천시",921,123,172,330,147,92,57
"249","경남","김해시",1592,260,313,590,217,101,111
"250","경남","밀양시",1090,197,235,433,141,37,47
"251","경남","거제시",953,172,203,311,134,90,43
"252","경남","양산시",1146,188,164,457,177,54,106
"253","경남","의령군",620,73,73,194,132,69,79
"254","경남","함안군",812,90,109,274,122,113,104
"255","경남","창녕군",588,91,100,231,81,26,59
"256","경남","고성군",514,99,110,205,58,32,10
"257","경남","남해군",844,116,117,351,113,96,51
"258","경남","하동군",824,129,169,325,83,107,11
"259","경남","산청군",864,105,141,358,121,53,86
"260","경남","함양군",1033,169,147,405,207,52,53
"261","경남","거창군",731,116,148,374,54,26,13
"262","경남","합천군",958,157,188,415,92,67,39
"263","제주특별자치도"," 총계",4659,947,1039,1589,399,255,430
"264","제주특별자치도","제주시",3064,633,716,1024,247,151,293
"265","제주특별자치도","서귀포시",1595,314,323,565,152,104,137
