name,sub2,clustercut,longitude,latitude
1100,152792,2,127.2298,37.4975
1101,167528,2,127.231,37.4899
1102,152798,2,127.2312,37.4902
1103,123323,2,127.2311,37.4896
1104,152831,2,127.231,37.4891
1105,152830,2,127.231,37.4888
1106,152828,2,127.2308,37.4886
1107,109096,2,127.2304,37.4881
1109,123319,2,127.2285,37.4867
1110,123316,2,127.2299,37.4874
1111,123324,2,127.2301,37.4875
1112,123318,2,127.2287,37.4867
1113,109097,2,127.2281,37.4865
1114,109098,2,127.2278,37.4865
1115,123321,2,127.2261,37.4867
1116,123320,2,127.2268,37.4864
1117,123325,2,127.2248,37.4866
1118,123322,2,127.224,37.4867
1119,42470,2,127.2274,37.5368
1120,94424,2,127.2246,37.5315
1121,42407,3,127.1785,37.5705
1122,42408,3,127.1798,37.5703
1123,42409,3,127.1809,37.5696
1125,42411,3,127.1817,37.5694
1127,42410,3,127.1819,37.5695
1129,42412,3,127.1825,37.569
1130,42413,3,127.1832,37.5683
1131,42414,3,127.1828,37.5685
1132,42677,2,127.2245,37.5315
1133,152863,2,127.2245,37.5314
1134,109104,1,127.2135,37.5365
1135,42405,1,127.2204,37.5398
1136,123305,1,127.2028,37.5332
1138,123310,1,127.2041,37.5346
1139,109026,1,127.2042,37.5346
1140,142331,1,127.2046,37.5349
1143,123249,1,127.2104,37.5365
1145,152235,1,127.2108,37.5369
1146,123248,1,127.2095,37.5366
1147,160121,1,127.2112,37.537
1148,160123,1,127.2115,37.537
1150,109101,1,127.213,37.537
1153,109102,1,127.2129,37.5372
1154,109103,1,127.2127,37.5371
1155,123250,1,127.2124,37.5371
1156,152777,1,127.2125,37.5367
1157,109027,1,127.2039,37.5342
1158,42559,1,127.2043,37.5349
1159,123308,1,127.2045,37.5348
1160,42560,1,127.2034,37.534
1161,123311,1,127.203,37.5336
