"asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
56824,126.8586,37.6483,"3",2.95,2.95,0,2,1,0,0,1,1,0,1,1,0,2,5,1,41,1,0,0
112225,126.8601,37.6484,"4",1.32,1.32,0,2,1,0,0,2,1,0,0,2,2,2,6,1,39,1,0,0
59039,126.8579,37.6482,"4",2.15,2.15,0,2,1,0,0,1,1,0,1,1,0,2,5,1,43,1,0,0
59042,126.8568,37.6481,"4",2.22,2.22,0,2,0,0,0,1,2,0,1,1,1,2,5,1,44,1,0,0
56327,126.8561,37.6125,"1",2.69,2.69,0,1,8,3,6,2,5,0,0,0,10,0,7,0,18,3,0,0
56326,126.8559,37.6127,"1",1.98,1.98,0,1,10,3,8,2,5,0,0,0,10,0,7,0,21,3,0,0
56319,126.8593,37.6109,"1",0.554,0.554,0,0,2,0,3,1,7,0,0,0,4,1,4,0,20,2,0,0
56320,126.8592,37.6111,"1",0.309,0.309,0,0,4,0,3,1,7,0,0,0,6,1,4,0,20,2,0,0
55448,126.8584,37.6098,"2",4.95,4.95,0,0,3,0,4,1,5,0,0,0,2,1,5,0,18,2,0,0
55449,126.8586,37.6097,"4",4.95,4.95,0,0,2,0,4,1,5,0,0,0,2,1,5,0,17,2,0,0
55269,126.8433,37.6022,"1",1.51,3.50397435897436,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0
97436,126.92,37.6639,"4",1.43,1.43,0,0,2,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0
56976,126.9196,37.6633,"3",13,13,0,0,2,0,0,0,2,0,0,0,0,0,5,0,5,1,0,0
56977,126.9197,37.6632,"1",24.5,24.5,0,0,2,0,0,0,2,0,0,0,0,0,5,0,5,1,0,0
56980,126.9197,37.664,"1",12,12,0,0,2,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0
56986,126.92,37.6654,"1",8,8,0,0,2,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0
174552,126.7923,37.6274,"1",30.6,55.9736842105263,0,1,0,0,0,0,2,0,0,0,1,0,1,0,14,1,0,0
169198,126.8403,37.6052,"1",16,16,0,1,5,0,3,2,0,2,0,0,8,0,3,0,10,1,0,0
55253,126.7851,37.6442,"3",300,300,3,50,44,8,99,22,3,1,32,4,142,7,0,11,998,177,67,32
113165,126.7518,37.6567,"1",11.9758085714286,90,2,4,1,1,0,2,0,0,0,6,1,0,8,1,95,24,5,1
113166,126.7515,37.6567,"1",13.0785795275591,90.0000007874016,2,4,1,1,0,2,0,0,0,6,0,0,8,1,92,24,5,1
113168,126.7512,37.6582,"2",90,90,2,4,1,1,1,4,0,0,0,5,1,0,8,1,91,25,5,1
113175,126.7529,37.658,"4",90,90,2,4,1,1,0,5,0,0,0,7,1,0,8,1,92,25,5,1
113176,126.7528,37.6577,"4",90,90,2,4,1,1,0,5,0,0,0,7,2,0,8,1,95,25,5,1
113184,126.7532,37.6574,"2",90,90,2,4,1,1,0,4,0,0,0,8,4,0,9,1,102,26,5,1
113185,126.7526,37.657,"4",90,90,2,4,1,1,0,2,0,0,0,8,4,0,8,1,102,26,5,1
113186,126.7522,37.6567,"2",35.8979207373272,90,2,4,1,1,0,2,0,0,0,7,3,0,8,1,101,26,5,1
113187,126.7533,37.6574,"3",81.3011152682256,90,2,4,1,1,0,4,0,0,0,8,4,0,9,1,103,26,5,1
113190,126.7535,37.6584,"1",90,90,3,4,1,1,0,6,0,0,2,8,1,0,9,1,96,26,5,1
113180,126.7525,37.6567,"2",36.3185841880342,90,2,4,1,1,0,2,0,0,0,8,3,0,8,1,103,26,5,1
113181,126.7529,37.6566,"3",37.2908367762128,90,1,4,1,1,0,2,0,0,0,8,3,0,8,1,104,26,5,1
113182,126.753,37.6574,"4",90,90,2,4,1,1,0,4,0,0,0,8,4,0,8,1,102,25,5,1
