"","asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"x135",85040,127.5471,37.89,"1",1.48,1.48,1,1,0,0,0,2,1,0,0,0,4,4,6,22,28,0,0,1
"x136",85041,127.547,37.8901,"1",7.2,7.2,1,1,0,0,0,2,1,0,0,0,4,4,6,21,29,0,0,1
"x137",85042,127.5472,37.89,"1",7.2,7.2,1,1,0,0,0,3,1,0,0,0,4,4,6,22,28,0,0,1
"x138",85043,127.5471,37.89,"1",1.65,1.65,1,1,0,0,0,2,1,0,0,0,4,4,6,22,28,0,0,1
"x139",83591,127.5256,37.9773,"4",0.0816,0.101,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0
"x140",86218,127.5012,37.7165,"4",0.110801526717557,0.110801526717557,0,1,0,0,0,1,0,0,0,0,0,0,2,4,9,3,0,0
"x141",86768,127.4348,37.7219,"1",2.05,2.05,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,0
"x142",86769,127.4349,37.7218,"1",2.05,2.05,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,0
"x143",86126,127.5018,37.7156,"1",1.65,1.65,0,1,0,0,0,1,0,0,0,0,0,0,2,4,8,2,0,0
"x144",86128,127.5016,37.7156,"1",0.825,0.825,0,1,0,0,0,1,0,0,0,0,0,0,2,4,8,3,0,0
"x145",118930,127.5396,37.8752,"1",3.15,3.15,0,1,2,2,0,0,0,0,1,1,0,0,0,4,4,0,0,0
"x146",118931,127.5388,37.8754,"1",8.19,8.19,0,1,2,2,0,0,0,0,1,1,0,0,0,4,5,0,0,0
"x147",118932,127.539,37.8754,"1",0.99,0.99,0,1,2,2,0,0,0,0,1,1,0,0,0,4,4,0,0,0
"x148",118933,127.5384,37.8755,"1",1.85,1.85,0,1,2,2,0,0,0,0,1,0,0,0,0,4,6,0,0,0
"x149",83855,127.451,37.7715,"1",0.363,0.363,0,2,1,1,0,0,2,1,0,0,4,0,5,5,12,1,0,0
"x150",83857,127.4585,37.7701,"1",3.36,3.36,0,1,3,1,3,0,1,1,0,0,3,0,11,8,16,2,1,1
"x151",83858,127.4589,37.7702,"3",3.19693741677763,3.19693741677763,0,1,3,1,3,0,1,1,0,0,3,0,11,8,16,2,1,1
"x152",87160,127.4594,37.7695,"1",3.02962962962963,3.02962962962963,0,1,3,1,3,0,1,1,0,0,3,0,10,9,16,2,1,1
"x153",87112,127.4593,37.7696,"1",5.69,5.69,0,1,3,1,3,0,1,1,0,0,3,0,10,9,16,2,1,1
"x154",87113,127.4594,37.7696,"1",5.8,5.8,0,1,3,1,3,0,1,1,0,0,3,0,10,11,16,2,1,1
"x155",87116,127.4492,37.7702,"1",3.97,3.97,0,2,1,1,0,0,4,1,0,0,4,0,4,5,11,1,0,0
"x156",83859,127.4495,37.7705,"2",1.52,1.52,0,2,1,1,0,0,4,1,0,0,4,0,5,5,11,1,0,0
"x157",87117,127.449,37.7701,"1",3.32093525179856,3.32093525179856,0,2,1,1,0,0,4,1,0,0,4,0,4,4,11,1,0,0
"x158",190160,127.4705,37.7082,"4",6.45,6.45,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,2,0,0
"x159",86759,127.4657,37.7089,"2",0.65,0.65,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,2,0,0
"x160",190232,127.4594,37.7238,"1",1.35,1.35,0,0,0,0,0,0,0,0,0,0,1,0,4,21,5,1,0,0
"x161",86856,127.4591,37.7242,"1",1.05,1.05,0,0,0,0,0,0,0,0,0,0,1,0,4,21,5,1,0,0
"x162",86855,127.4589,37.7245,"3",0.775,0.775,0,0,0,0,0,0,0,0,0,0,1,0,4,21,5,1,0,0
"x163",118934,127.5383,37.8755,"3",0.99,0.99,0,1,2,2,0,0,0,0,1,0,0,0,0,4,6,0,0,0
"x164",118935,127.5378,37.8756,"1",1.89,1.89,0,1,1,1,0,0,0,0,1,0,0,0,0,5,6,0,0,0
"x165",118936,127.538,37.8756,"1",1.85,1.85,0,1,1,1,0,0,0,0,1,0,0,0,0,5,6,0,0,0
"x166",83899,127.5245,37.8743,"2",0.82,0.82,0,0,0,0,0,0,1,0,0,0,0,0,1,14,6,0,0,0
"x167",118953,127.5247,37.8744,"1",2.46,2.46,0,0,0,0,0,0,1,0,0,0,0,0,1,14,6,0,0,0
"x168",83901,127.5228,37.8728,"1",9.92,9.92,0,0,0,0,0,0,1,0,0,0,0,0,1,14,7,0,0,0
"x169",118954,127.5235,37.8733,"3",0.528,0.528,0,0,0,0,0,0,1,0,0,0,0,0,1,14,7,0,0,0
"x170",83902,127.5241,37.874,"1",9.92,9.92,0,0,0,0,0,0,1,0,0,0,0,0,1,14,6,0,0,0
"x171",86848,127.436,37.7208,"4",0.65,0.65,0,1,0,0,0,0,0,0,0,0,0,0,4,8,12,1,0,0
"x172",86842,127.4382,37.7195,"1",0.65,0.65,0,1,0,0,0,0,0,0,0,0,0,0,3,8,10,1,0,0
"x173",86843,127.4383,37.7192,"1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,8,10,1,0,0
"x174",86850,127.4351,37.7218,"1",0.725,0.725,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,0
"x175",86851,127.4353,37.7216,"1",0.725,0.725,0,1,0,0,0,0,0,0,0,0,0,0,4,8,12,2,0,0
"x176",86852,127.4358,37.7211,"2",0.725,0.725,0,1,0,0,0,0,0,0,0,0,0,0,4,8,12,1,0,0
"x177",86854,127.4586,37.7248,"1",1.04971098265896,1.04971098265896,0,0,0,0,0,0,0,0,0,0,1,0,4,21,5,1,0,0
"x178",86765,127.4352,37.7217,"1",2.05,2.05,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,0
"x179",86767,127.435,37.7216,"1",2.05,2.05,0,1,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,0
"x180",184692,127.4855,37.7128,"2",4.65,4.65,0,1,0,0,0,1,0,0,0,1,0,0,4,23,6,4,0,0
"x181",86732,127.4582,37.7167,"2",3.8,3.8,0,0,0,0,0,0,0,0,0,0,1,0,3,20,3,2,0,0
"x182",86764,127.4389,37.7189,"1",2.05,2.05,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,1,0,0
"x183",86762,127.4488,37.7134,"3",3.1,3.1,0,1,0,0,0,1,0,0,0,1,1,0,3,19,15,5,0,0
"x184",86734,127.459,37.7167,"1",1.44668571428571,1.44668571428571,0,0,0,0,0,0,0,0,0,0,1,0,3,20,3,2,0,0
"x185",86735,127.4591,37.7168,"1",2.4,2.4,0,0,0,0,0,0,0,0,0,0,1,0,3,20,3,2,0,0
"x186",161855,127.4989,37.845,"1",Inf,Inf,0,1,0,0,0,2,1,0,0,0,0,0,5,13,13,0,0,1
"x187",160991,127.5031,37.8993,"1",Inf,Inf,0,0,0,0,0,0,0,0,0,0,0,0,7,38,3,0,0,0
"x188",161022,127.3655,37.775,"1",Inf,Inf,0,1,1,1,0,0,0,0,0,0,3,0,2,48,33,4,0,1
"x189",161938,127.3655,37.775,"1",Inf,Inf,0,1,1,1,0,0,0,0,0,0,3,0,2,48,33,4,0,1
"x190",161944,127.3655,37.775,"1",Inf,Inf,0,1,1,1,0,0,0,0,0,0,3,0,2,48,33,4,0,1
"x191",161832,127.4863,38.0011,"1",Inf,Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x192",160898,127.4541,37.9771,"1",Inf,Inf,0,0,0,1,0,0,0,0,0,0,0,0,1,17,1,0,0,0
"x193",160899,127.4541,37.9771,"1",Inf,Inf,0,0,0,1,0,0,0,0,0,0,0,0,1,17,1,0,0,0
"x194",160900,127.4541,37.9771,"1",Inf,Inf,0,0,0,1,0,0,0,0,0,0,0,0,1,17,1,0,0,0
"x195",86550,127.402,37.7127,"1",20.859375,20.859375,0,1,0,0,0,1,4,0,0,0,2,0,11,14,18,5,0,0
"x196",187102,127.3879,37.6812,"1",27.5,29.25,0,6,1,1,0,1,4,1,0,1,4,0,4,20,28,6,0,0
"x197",184531,127.379,37.6535,"1",1.95,1.95,0,3,1,0,2,1,0,0,0,0,2,0,5,16,29,5,0,0
"x198",181028,127.378,37.6539,"4",2.25,2.25,0,3,1,0,2,1,1,0,0,0,2,0,4,15,32,4,0,0
"x199",86493,127.3813,37.6681,"1",3.7,3.7,0,0,0,0,1,0,3,0,0,0,3,0,3,17,24,8,1,0
