"집계년도","asset_ID","재산구분명","재산종류명","행정재산구분명","산구분명","실지목명","공부지목명","재산수량","재산면적","대장가액.원.","기준가액.원.","재산관리기관명","분임관리기관명","위임관리기관명","취득일자","취득방법명","재산명칭","등록일자","비고","address","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
2015,59121,"토지","행정재산","공용재산","일반","대","대",1,661,1024550000,1024550000,"경기도 재난안전본부 소방행정과","경기도 의정부소방서","","1998-02-25","매입","주차장","2007-12-10","[토지분류코드:GA108][관리대장코드:2000122]","경기도 의정부시 의정부동  525 - 1",127.0358,37.7371,"3",155,155,16,311,561,65,667,190,54,23,155,16,686,58,50,183,5665,453,426,169
2015,59123,"토지","행정재산","공용재산","일반","대","대",1,3590.4,5457408000,5457408000,"경기도 경기도건설본부","경기도 경기도건설본부 북부도로과","","1994-09-01","매입","대 지","2007-03-28","[토지분류코드:GA108][관리대장코드:4100001]","경기도 의정부시 의정부동  551 - 2",127.0403,37.7356,"4",152,152,16,317,598,68,703,194,57,23,160,16,705,58,47,182,5777,474,441,173
2015,147748,"토지","행정재산","공공용재산","일반","하천","하천",1,958,177453000,177453000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2009-06-10","매입","토지(미불용지, 호원동 67-4)","2009-10-01","","경기도 의정부시 호원동  67 - 4",127.0485,37.7186,"3",18.5232776617954,18.5232776617954,17,351,673,72,758,218,54,26,174,23,811,65,64,193,6452,540,478,185
2015,187396,"토지","행정재산","공공용재산","일반","대","대",1,1,412500,412500,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2013-12-04","누락재산등록","하천","2014-10-28","","경기도 의정부시 호원동  72 - 22",127.0491,37.7173,"1",41.25,41.25,17,350,672,75,761,217,52,26,175,24,821,65,64,193,6500,543,486,184
2015,59161,"토지","행정재산","공공용재산","일반","하천","하천",1,169,15041000,15041000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-01-09","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500037]","경기도 의정부시 호원동  72 - 32",127.0492,37.7172,"1",8.9,8.9,17,349,673,75,761,216,52,26,174,24,822,65,64,193,6502,543,486,184
2015,184455,"토지","행정재산","공공용재산","일반","하천","하천",1,140,38557850,38557850,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2013-12-04","매입","지방하천 미불용지","2014-01-06","","경기도 의정부시 호원동  72 - 33",127.0494,37.7169,"1",27.5413214285714,27.5413214285714,17,351,669,75,758,216,51,26,174,24,818,64,64,193,6492,542,487,184
2015,145321,"토지","행정재산","공공용재산","일반","답","답",1,336,112560000,112560000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2008-02-25","매입","","","","경기도 의정부시 신곡동  1 - 7",127.0811,37.7532,"2",33.5,33.5,21,328,637,67,732,188,61,21,170,20,772,63,42,184,6041,533,462,175
2015,157397,"토지","행정재산","공공용재산","일반","하천","하천",1,172,9679832,9679832,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2009-07-21","분할취득","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500038]","경기도 의정부시 장암동  298 - 1",127.0495,37.6997,"1",5.62780930232558,5.62780930232558,20,349,708,76,967,200,48,21,167,21,947,63,70,221,6800,626,640,242
2015,190791,"토지","행정재산","공공용재산","일반","하천","하천",1,79,4445969,4445969,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2014-08-27","분할취득","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500038]","경기도 의정부시 장암동  298 - 2",127.0494,37.6997,"1",5.62780886075949,5.62780886075949,20,348,708,76,968,201,48,21,167,21,945,63,70,221,6790,626,639,242
2015,59157,"토지","행정재산","공공용재산","일반","하천","하천",1,3405,188977500,188977500,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-01-27","매입","하  천","2007-07-18","[토지분류코드:][관리대장코드:2500033]","경기도 의정부시 장암동  299 - 2",127.0492,37.6973,"4",5.55,5.55,20,377,700,82,1083,212,51,22,207,26,988,70,78,200,7294,675,768,264
2015,59245,"토지","행정재산","공공용재산","일반","하천","하천",1,10798.46,999859092,2150575874,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2005-12-13","매입","제  방","2009-03-06","[토지분류코드:][관리대장코드:2500121]","경기도 의정부시 장암동  299 - 3",127.0493,37.6984,"4",9.25927485956331,19.915579388172,20,364,709,78,1026,210,50,21,190,21,955,64,73,232,7142,671,686,249
2015,59159,"토지","행정재산","공공용재산","일반","전","전",1,1801,108817000,108817000,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2004-05-03","매입","하  천","2007-10-05","[토지분류코드:][관리대장코드:2500035]","경기도 의정부시 장암동  299 - 11",127.0497,37.701,"4",6.04203220433093,6.04203220433093,19,336,703,74,896,194,49,22,162,20,922,59,69,217,6480,571,593,231
2015,175385,"토지","행정재산","공공용재산","일반","하천","하천",1,99.37,9442239,10201795,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2011-05-19","분할취득","제  방","2009-03-06","[토지분류코드:][관리대장코드:2500121]","경기도 의정부시 장암동  299 - 13",127.05,37.7009,"1",9.50210224413807,10.2664737848445,19,339,706,74,904,196,48,22,165,20,924,59,69,217,6537,576,602,234
2015,175386,"토지","행정재산","공공용재산","일반","하천","하천",1,118.86,11293659,12202147,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2011-05-19","분할취득","제  방","2009-03-06","[토지분류코드:][관리대장코드:2500121]","경기도 의정부시 장암동  299 - 16",127.0497,37.7006,"1",9.50164815749621,10.2659826686858,20,342,712,74,911,199,48,21,166,21,923,60,69,218,6589,587,612,236
2015,175387,"토지","행정재산","공공용재산","일반","하천","하천",1,139.32,13237649,14302517,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2011-05-19","분할취득","제  방","2009-03-06","[토지분류코드:][관리대장코드:2500121]","경기도 의정부시 장암동  299 - 17",127.0495,37.7,"1",9.50161426930807,10.265946741315,20,349,709,76,951,199,49,21,167,21,943,61,70,220,6747,616,637,239
2015,186108,"토지","행정재산","공공용재산","일반","하천","하천",1,21.43,2036561,2200387,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2013-02-25","분할취득","제  방","2009-03-06","[토지분류코드:][관리대장코드:2500121]","경기도 의정부시 장암동  299 - 21",127.0498,37.7007,"1",9.50331777881475,10.2677881474568,20,343,707,74,904,197,48,21,167,20,925,60,69,218,6567,580,606,235
2015,59145,"토지","행정재산","공공용재산","일반","하천","하천",1,72,1893600,1893600,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","1995-01-25","매입","제  방","2007-07-18","[토지분류코드:GA213][관리대장코드:2500021]","경기도 의정부시 장암동  399 - 5",127.0507,37.6894,"1",2.63,2.63,19,348,781,109,1416,205,48,20,195,21,1057,65,73,107,6318,615,787,277
2015,190793,"토지","행정재산","공공용재산","일반","하천","하천",1,3,78900,78900,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","2014-08-27","분할취득","제  방","2007-07-18","[토지분류코드:GA213][관리대장코드:2500021]","경기도 의정부시 장암동  399 - 9",127.0507,37.6893,"1",2.63,2.63,19,347,781,110,1422,206,48,20,196,21,1061,65,73,107,6333,615,788,277
2015,59146,"토지","행정재산","공공용재산","일반","하천","하천",1,354,17593800,17593800,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","1995-01-25","매입","제  방","2007-07-18","[토지분류코드:GA213][관리대장코드:2500022]","경기도 의정부시 장암동  404 - 4",127.0507,37.6887,"2",4.97,4.97,20,351,787,112,1459,209,45,21,197,23,1071,66,73,106,6375,627,794,283
2015,92368,"토지","행정재산","공공용재산","일반","하천","하천",1,57,2832900,2832900,"경기도 건설국 하천과","","경기도 의정부시 안전교통건설국 안전총괄과","1995-01-25","매입","제  방","2007-10-05","[토지분류코드:GA213][관리대장코드:2500022]","경기도 의정부시 장암동  404 - 8",127.0508,37.6885,"1",4.97,4.97,20,352,788,113,1469,210,45,21,201,26,1073,67,73,106,6377,631,796,282
