"asset_ID","Land_size","Land_value","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
186,73,49786000,68.2,1,8,2,0,2,11,3,0,6,0,15,0,1,0,90,32,6,0
166389,19,5282000,27.8,0,2,9,1,15,1,0,0,0,0,13,1,0,0,52,1,4,2
166388,2,1582000,79.1,0,2,9,1,15,1,0,0,0,0,13,1,0,0,52,1,4,2
166378,774,153252000,19.8,0,2,8,1,11,1,1,0,0,0,10,1,0,0,41,1,4,2
172859,81,21060000,26,0,2,7,1,16,1,1,0,0,0,10,1,0,0,52,1,4,2
172860,1164,2.91e+08,25,0,2,8,1,16,1,1,0,0,0,10,1,0,0,53,1,4,2
172861,484,90992000,18.8,0,1,5,1,3,1,1,0,0,0,6,1,0,0,29,1,4,2
172882,200,4.4e+07,22,0,2,8,1,15,1,1,0,0,0,10,1,0,0,52,1,4,2
172883,106,23320000,22,0,1,4,1,1,1,1,0,0,0,5,1,0,0,28,0,4,2
172863,418,80256000,19.2,0,1,5,1,3,1,1,0,0,0,6,1,0,0,30,1,4,2
166379,13,3874000,29.8,0,2,9,1,16,1,0,0,0,0,12,1,0,0,51,1,4,2
166385,1097,230370000,21,0,1,6,1,6,1,1,0,0,0,9,1,0,0,40,1,4,2
166386,126,37548000,29.8,0,2,9,1,15,1,0,0,0,0,12,1,0,0,52,1,4,2
166387,112,88592000,79.1,0,2,8,1,15,1,0,0,0,0,13,1,0,0,52,1,4,2
184641,60.06,1.2e+08,199.8001998002,1,25,12,0,37,19,0,1,24,6,53,2,1,60,445,70,66,11
184642,72.45,1.4e+08,193.236714975845,0,18,17,2,34,11,0,0,13,4,35,1,1,29,283,40,25,5
184643,72.45,1.35e+08,186.335403726708,0,18,17,2,34,11,0,0,13,4,35,1,1,29,283,40,25,5
189351,60,1.65e+08,275,3,10,24,4,45,5,0,0,5,2,48,2,0,1,147,16,16,9
189353,84,2e+08,238.095238095238,1,4,18,2,28,6,0,0,1,0,19,0,3,0,58,7,4,3
185135,84.73,2.1e+08,247.846099374484,1,7,19,2,30,6,1,0,1,0,21,0,1,0,59,8,5,3
185138,50,8e+07,160,1,11,25,5,36,2,0,0,3,1,23,0,1,1,182,39,8,4
184685,606,423180000,69.8316831683168,0,9,16,0,28,6,3,0,4,3,42,4,2,6,218,30,4,3
147233,59.84,1.3e+08,217.245989304813,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
183912,59.84,1.5e+08,250.668449197861,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
188773,59.84,1.8e+08,300.802139037433,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
183911,59.84,1.95e+08,325.868983957219,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
179626,59.84,1.85e+08,309.157754010695,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
177031,59.84,1.85e+08,309.157754010695,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
160225,59.84,1.95e+08,325.868983957219,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
173858,59.84,1.6e+08,267.379679144385,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
702,7,626500,8.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,2413,215963500,8.95,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
608,249,23978700,9.63,0,1,12,0,6,0,0,0,0,0,10,0,0,0,9,0,0,0
166414,304,50464000,16.6,0,2,8,0,5,0,0,0,0,0,7,0,1,0,3,1,0,0
172878,15,1995000,13.3,0,2,9,0,5,0,0,0,0,0,7,0,1,0,4,1,0,0
172877,440,74360000,16.9,0,2,8,0,5,0,0,0,0,0,7,0,1,0,3,1,0,0
649,28,2469600,8.82,0,2,11,0,5,0,0,0,0,0,8,0,1,0,5,1,0,0
172879,105,14805000,14.1,0,2,10,0,5,0,0,0,0,0,8,0,1,0,4,1,0,0
598,390,34398000,8.82,0,2,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
601,3040,292752000,9.63,0,2,12,0,8,0,0,0,1,0,10,0,0,0,11,0,0,0
602,1090,104967000,9.63,0,1,12,0,6,0,0,0,0,0,10,0,0,0,9,0,0,0
603,38,3659000,9.62894736842105,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
604,122,11748600,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,0,0,0
605,7,674100,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
606,20,1926000,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
607,5,481500,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
599,15,1444500,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
181492,22,2118600,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
181494,14,1348200,9.63,0,1,12,0,5,0,0,0,0,0,9,0,0,0,8,1,0,0
714,289,25865500,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,1005,89947500,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,651,58264500,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,1989,270504000,13.6,0,4,8,0,10,0,0,0,0,0,13,2,2,0,50,0,2,2
956,101,10908000,10.8,0,1,5,1,1,0,0,0,0,0,3,0,1,0,23,2,0,0
957,516,55728000,10.8,0,0,5,1,0,0,0,0,0,0,2,0,1,0,20,2,0,0
960,2969,290368200,9.78,0,0,2,1,0,0,0,0,0,0,2,0,1,0,20,4,0,0
961,1197,117066600,9.78,0,0,1,1,0,0,0,0,0,0,1,0,1,0,17,4,0,0
993,2251,213845000,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,2,0,0
994,887,84265000,9.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0
995,981,93195000,9.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,2,0,0
996,116,11020000,9.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0
997,1742,165490000,9.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0
