"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,0.144587712499902,-0.214685320512347,"8","32","220","2","3","2"
"public",2,0.283617807926969,1.48128214516102,"8","22","240","2","7","1"
"public",0,-0.3108067837459,-0.165772235664315,"8","13","330","2","4","5"
"public",2,-0.276049259889133,-0.218964606661016,"10","13","160","2","2","4"
"public",0,-1.19130707687661,-0.20494815878256,"11","43","950","2","2","4"
"public",1,-0.146949885563999,-0.206084539778033,"8","32","410","2","7","5"
"public",0,0.537560533247836,-0.205042316065042,"8","16","220","2","1","3"
"public",0,0.433287961677536,-0.204552048835566,"8","14","320","2","2","4"
"public",0,0.155937108044968,-0.186895934968749,"8","13","160","2","7","8"
"public",0,-1.12760859437992,-0.209623554878223,"8","64","160","2","7","6"
"public",0,-1.12221763149601,-0.19877923337856,"8","43","110","2","7","8"
"public",0,-0.887710746046071,-0.168876179183381,"8","14","330","2","7","6"
"public",0,-1.09455347985491,-0.205759859493612,"8","43","220","3","7","6"
"public",0,-0.892463305430568,-0.214136610831675,"8","22","220","2","7","6"
"public",0,-0.943890253994151,-0.158291601911254,"8","13","240","2","4","6"
"public",0,-0.908352459193661,-0.206214411891802,"8","13","220","2","4","7"
"public",0,-0.764782605548568,-0.205954667664265,"8","64","220","2","4","6"
"public",0,-0.894449449650955,-0.19446098559576,"8","64","220","2","4","6"
"public",0,-0.845717982529324,-0.196181791103191,"8","22","310","2","4","4"
"public",0,-0.710163639487934,-0.210272915447065,"8","64","210","2","7","6"
"public",1,0.761711095262903,-0.219428899467739,"8","22","220","2","7","5"
"public",0,-0.834368586984258,-0.204168926099949,"8","22","220","2","7","4"
"public",0,-0.888703818156265,-0.213552186319718,"8","64","220","2","4","6"
"public",1,-0.349820330932066,-0.0308545902759911,"8","14","220","2","7","6"
"public",0,-0.888420083267638,-0.209071598394707,"8","64","160","2","7","4"
"public",3,0.221196132429102,-0.203435148657158,"8","14","320","2","2","5"
"public",1,0.0807473625589014,-0.21666911705016,"8","13","160","2","1","9"
"public",0,-0.55446411935405,-0.20819496162677,"1","64","160","2","4","8"
"public",1,-0.367553761471233,-0.202772800876939,"8","44","240","2","7","6"
"public",0,-0.801029737570624,-0.215662608168454,"8","44","160","2","4","6"
"public",1,-0.236326375481399,-0.204892963134208,"8","14","160","2","3","5"
"public",1,0.311991296789635,-0.223162722738581,"8","14","220","2","5","8"
"public",0,-0.861181533959478,-0.211149552215002,"1","13","240","2","7","4"
"public",0,-0.973824284744265,-0.214266482945444,"8","13","160","2","4","8"
"public",0,-0.941052905107885,-0.211344360385654,"8","14","110","2","7","8"
"public",1,0.143169038056768,-0.189363505130349,"1","22","240","2","4","6"
"public",1,-0.159717955552199,-0.217769783214347,"8","14","330","2","3","4"
"public",0,0.0154883381747679,-0.213295688895025,"8","22","240","2","2","2"
"public",0,-0.2725025737813,-0.219110712789006,"8","14","330","2","1","5"
"public",0,0.0275470709414013,-0.211568389781905,"8","22","240","2","7","5"
"public",0,-0.507293194119867,-0.220646450534318,"8","14","160","2","8","6"
"public",0,0.655310512027903,-0.193516165968094,"8","16","240","2","1","5"
"public",0,-0.395217913112333,-0.203539046348172,"8","14","160","2","4","5"
"public",0,-0.191638130522699,-0.216656129838783,"8","14","160","2","1","5"
"public",0,-0.810676723783931,-0.208552109939633,"8","64","240","2","4","6"
"public",1,0.765257781370737,-0.224428975847823,"8","22","220","2","7","4"
"public",0,-0.897003063648595,-0.21559767211157,"8","13","160","2","4","7"
"public",0,-0.917077307018931,-0.208130025569886,"8","71","220","2","4","6"
"public",1,-0.564536707900297,-0.221084768918286,"8","13","240","2","7","7"
"public",1,-0.292364015985166,-0.20492543116265,"8","14","160","2","3","4"
"public",0,-0.4001832736633,-0.202318248478749,"8","22","220","3","7","8"
"public",1,-0.822593589106251,-0.210467723617718,"8","22","220","2","7","8"
"public",0,-0.825785606603301,-0.18459070494936,"8","43","310","2","7","8"
"public",0,0.163739817482202,-0.210272915447065,"8","22","240","2","7","6"
"public",0,-0.398764599220167,-0.205272839066981,"8","14","220","2","4","6"
"public",0,-0.4257194136397,-0.19137652289376,"8","14","160","2","4","1"
"public",0,-0.618659137905834,-0.213000229836202,"8","22","210","2","4","4"
"public",0,-0.725201588585147,-0.20449360638437,"8","43","160","2","4","6"
"public",0,-0.311516120967466,-0.19446098559576,"8","14","330","2","1","6"
"public",1,0.0232910476120013,-0.216247032680412,"8","16","330","2","7","7"
"public",0,-0.159717955552199,-0.206857278854955,"8","14","160","2","3","2"
"public",0,0.621262325392703,-0.218389922557591,"1","15","240","2","4","4"
"public",0,0.207718725219335,-0.21790290213096,"8","16","240","2","4","4"
"public",0,-0.3427269587164,-0.20494815878256,"2","43","230","2","2","7"
"public",0,-0.687039246064861,-0.203909181872412,"8","13","160","2","4","4"
"public",0,-0.978222175517978,-0.215630140140012,"8","14","110","2","7","9"
"public",0,-1.12576431760385,-0.194331113481991,"8","64","110","3","4","4"
"public",0,0.216230771878135,-0.217545753818096,"8","16","240","2","2","6"
"public",0,-0.976165097575435,-0.10208944467797,"27","44","510","2","7","8"
"public",0,-1.13399262937402,-0.17364897936437,"8","64","160","2","4","6"
"public",0,-0.754993751890948,-0.216701585078602,"8","16","310","2","7","6"
"public",1,0.287873831256369,-0.215954820424433,"8","22","220","2","7","6"
"public",0,-0.936442213167701,-0.215630140140012,"8","64","220","2","7","7"
"public",0,-1.13966732714655,-0.204396202299044,"8","64","160","2","7","6"
"public",1,-0.927930166508901,-0.209461214736012,"8","22","240","2","4","6"
"public",0,-0.437778146406333,-0.211214488271886,"8","14","160","2","4","6"
"public",0,0.055920559804068,-0.202996830273189,"8","14","160","2","4","5"
"public",0,-0.495234461353233,-0.193097328401191,"8","64","230","2","7","4"
"public",1,-1.04539641040034,-0.10624535231856,"14","43","910","2","7","0"
"public",0,-0.52020313155238,-0.214136610831675,"2","13","220","2","7","8"
"public",0,-0.590569383931794,-0.216993797334581,"8","11","150","2","4","5"
"public",0,-0.61234603663389,-0.213292442092181,"1","22","210","2","1","8"
"public",0,-0.232070352151999,-0.220565280463212,"8","13","210","2","7","6"
"public",1,-0.757263630999961,-0.190207673869844,"1","14","160","2","7","6"
"public",0,-0.218592944942233,-0.217120422645505,"8","14","330","2","3","4"
"public",0,-0.56297616601285,-0.22098736483296,"28","14","150","2","7","6"
"public",0,-0.352657679818333,-0.204954652388248,"8","14","160","2","1","5"
"public",0,-0.168230002210999,-0.17330157146004,"11","13","950","2","1","5"
"public",0,-0.834723255595041,-0.213162569978412,"2","44","530","2","7","6"
"public",1,-0.456220914167067,-0.221539321316475,"8","43","210","2","4","1"
"public",0,-0.747332909898027,-0.209298874593802,"8","16","160","2","4","6"
"public",2,0.995083041158337,-0.217886668116739,"8","15","330","3","1","7"
"public",1,1.1639052998912,-0.205951420861421,"8","14","240","3","2","5"
