"category","name","longitude","latitude","address","SW8","dist_nearestRV","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"public","지구대",127.0083064,37.2909042,"경기도 수원시 장안구 영화동 410-3번지",0,1.95,0,24,21,0,34,10,3,9,0,75,2,0,35,461,27,29,17
"public","지구대",126.9985625,37.2932109,"경기도 수원시 장안구 정자동 30-13번지",0,1.16,3,16,23,5,83,9,2,9,1,44,4,0,1,273,27,37,14
"public","파출소",126.971618,37.2979012,"경기도 수원시 장안구 율전동 497-7번지 율천파출소",1,1.16,1,18,17,1,23,9,0,9,2,50,2,0,1,394,58,24,8
"public","파출소",127.0553658,37.2402729,"경기도 수원시 영통구 망포동 396-1번지",1,1.53,2,10,45,3,98,5,2,9,0,42,2,1,3,157,18,30,8
"public","파출소",127.0313404,37.2756555,"경기도 수원시 팔달구 인계동 930-1번지",0,2.12,1,17,14,0,28,20,1,13,3,46,1,0,30,191,27,29,20
"public","파출소",127.0475843,37.2885442,"경기도 수원시 영통구 이의동 1347-6번지",1,0.81,2,11,8,1,16,6,1,7,0,47,3,1,0,135,47,20,5
"public","파출소",127.0143365,37.2690449,"경기도 수원시 팔달구 매교동 77-63번지",1,2.06,0,5,5,4,47,9,2,6,2,32,5,0,22,172,33,13,10
"public","파출소",126.9417576,37.2917085,"경기도 수원시 권선구 당수동 159-1번지",0,3.81,0,2,20,1,19,2,0,0,0,16,1,1,0,56,3,4,2
"public","파출소",127.0214201,37.283064,"경기도 수원시 팔달구 남수동 11-841번지",0,2.28,0,6,10,6,14,6,2,3,5,23,8,0,13,131,17,6,5
"public","파출소",127.0152228,37.2426536,"경기도 수원시 권선구 세류동 1167-33번지 세류파출소",1,1.08,0,4,0,1,0,2,0,2,0,5,1,0,27,49,3,0,1
"public","파출소",127.0295083,37.2597708,"경기도 수원시 권선구 권선동 1013-23번지",1,1.5,1,28,16,1,45,18,1,19,2,66,5,1,63,388,64,47,8
"public","파출소",127.0024197,37.2729288,"경기도 수원시 팔달구 고등동 105-25번지",2,1.37,0,18,10,2,9,17,0,3,0,46,3,0,68,214,24,3,8
"public","파출소",126.9514238,37.2731249,"경기도 수원시 권선구 금곡동 331번지",0,3.08,1,4,6,0,6,0,0,1,0,8,2,2,1,32,6,4,5
"public","파출소",126.9862901,37.2518796,"경기도 수원시 권선구 고색동 146-7번지",1,0.76,1,4,12,3,4,8,3,2,1,13,1,0,1,104,5,8,6
"public","파출소",127.0295833,37.2808459,"경기도 수원시 팔달구 지동 480-6번지",0,1.92,0,21,21,0,39,5,2,9,0,53,3,0,16,209,21,19,13
"public","고등동",127.001141,37.2734563,"경기도 수원시 팔달구 고등동 153-1번지",2,1.26,0,13,10,2,6,12,0,1,0,43,3,0,34,114,13,3,7
"public","곡선동",127.0333291,37.2433171,"경기도 수원시 권선구 곡반정동 525번지",0,0.62,0,10,9,3,8,5,0,3,0,43,1,3,0,128,12,1,1
"public","광교동",127.047397,37.2901809,"경기도 수원시 영통구 이의동 1350번지",1,0.66,2,10,7,2,25,9,0,9,0,49,3,1,0,141,52,25,5
"public","구운동",126.9714683,37.2771183,"경기도 수원시 권선구 구운동 965번지",0,1.4,0,17,13,1,15,2,0,3,0,47,2,0,13,235,13,17,11
"public","권선1동",127.0246059,37.2577504,"경기도 수원시 권선구 권선동 1034-5번지",1,1.57,0,23,33,3,46,7,4,10,0,47,3,0,35,464,34,25,15
"public","권선2동",127.0297121,37.251323,"경기도 수원시 권선구 권선동 1268-2번지",1,1.04,1,4,36,5,54,5,1,10,0,32,2,0,0,191,16,30,9
"public","금호동",126.9570464,37.2662294,"경기도 수원시 권선구 호매실동 1367번지",0,2.67,1,8,27,5,42,0,0,2,0,23,1,1,0,157,12,11,5
"public","매교동",127.0142506,37.2685718,"경기도 수원시 팔달구 매교동 88-1번지",1,2.01,0,5,6,3,43,7,2,6,2,34,5,0,19,156,30,11,9
"public","매산동",127.0056957,37.2687347,"경기도 수원시 팔달구 매산로2가 40-30번지",3,1.72,1,30,16,1,81,22,1,9,1,81,3,1,96,684,95,53,16
"public","매탄1동",127.0405297,37.2705012,"경기도 수원시 영통구 매탄동 176-4번지",0,1.12,1,6,56,3,55,4,1,3,0,47,1,0,0,172,13,14,7
"public","매탄2동",127.0474385,37.270149,"경기도 수원시 영통구 매탄동 198-99번지",0,0.64,1,20,26,3,53,8,2,5,2,53,1,0,0,301,28,28,14
"public","매탄3동",127.0431058,37.2564476,"경기도 수원시 영통구 매탄동 1279-1번지",1,0.72,1,8,26,3,91,8,0,8,0,30,3,1,0,327,25,27,8
"public","매탄4동",127.048707,37.2651207,"경기도 수원시 영통구 매탄동 232-2번지",0,0.23,0,18,18,5,43,3,1,3,0,46,0,0,1,252,22,16,8
"public","서둔동",126.9860687,37.2726013,"경기도 수원시 권선구 서둔동 207-13번지",0,0.02,0,2,4,0,0,8,0,1,1,9,1,0,0,35,1,2,2
"public","세류1동",127.0084008,37.2622543,"경기도 수원시 권선구 세류동 223-2번지",3,1.25,1,9,26,0,11,4,4,3,0,47,4,0,0,101,13,10,8
