"Asset_ID","Land_size","Land_value","longitude","latitude","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","cluster"
97848,50,2970000,127.0411,37.2497,5.94,43,637,1046,140,1770,430,111,11,366,68,1975,124,94,418,11496,1476,1037,394,2
97849,19,2432000,127.0394,37.2474,12.8,45,638,1081,141,1781,425,105,11,362,68,1986,122,93,417,11573,1487,1022,391,2
97850,40,17920000,127.0394,37.2474,44.8,45,638,1081,141,1781,425,105,11,362,68,1986,122,93,417,11573,1487,1022,391,2
166842,139,72280000,127.0397,37.2471,52,46,644,1086,142,1788,422,105,11,361,67,1991,122,93,417,11553,1483,1020,389,2
294,1963,1001130000,127.0455,37.2396,51,45,619,1115,134,1881,368,90,11,338,54,1941,79,79,356,11162,1397,974,370,2
295,2030,678020000,127.0454,37.2398,33.4,45,619,1115,134,1884,371,90,11,342,54,1946,80,79,359,11207,1412,979,371,2
292,1993,781256000,127.0451,37.2399,39.2,45,620,1116,134,1878,377,89,11,340,54,1948,82,79,365,11225,1420,975,371,2
293,2100,823200000,127.0449,37.2401,39.2,45,624,1115,134,1892,375,89,11,342,55,1944,82,81,375,11267,1433,984,373,2
296,4005,2042550000,127.0466,37.2393,51,46,614,1116,133,1896,360,89,9,337,55,1940,79,81,333,10951,1362,963,368,2
297,1058,751180000,127.0463,37.2387,71,47,609,1112,132,1885,358,89,9,334,55,1929,77,78,328,10825,1341,950,359,2
299,698,355980000,127.0455,37.2386,51,46,615,1105,131,1884,360,92,9,338,57,1930,76,78,336,10985,1370,961,366,2
864,1212,61812000,126.9508,37.2898,5.1,23,238,573,91,834,154,69,4,109,26,816,46,120,84,4275,448,362,170,3
865,2979,151929000,126.9514,37.2902,5.1,23,242,578,92,848,155,73,4,112,31,832,46,120,89,4351,463,370,173,3
866,35,1785000,126.9521,37.29,5.1,23,254,586,92,875,160,71,4,122,32,860,48,120,112,4524,496,388,180,3
867,3000,1.53e+08,126.9517,37.2903,5.1,23,247,579,91,869,156,71,4,115,31,841,46,120,95,4413,473,381,175,3
868,458,23358000,126.9522,37.2901,5.1,23,254,585,92,877,160,71,4,121,32,861,49,120,113,4532,496,388,180,3
869,2468,125868000,126.9519,37.2905,5.1,23,247,581,92,871,158,73,4,115,31,849,46,120,98,4439,473,381,177,3
