"category","longitude","latitude","SW8","PNU","PNILP","PAREA","JIMOK","SPFC1","SPFC2","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE","MT1","CS2","PS3","SC4","AC5","PK6","OL7","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
"culture",127.427271,37.275088,0,4150010200104180224,122500,2109,1,43,0,160,3,7,6,0,1,3,0,4,14,2,3,8,8,3,10,1,70,12,5,2
"culture",127.1608542,37.6980145,0,4136025322105869824,533700,1437,8,44,0,160,2,4,4,1,7,4,1,4,1,0,1,2,11,0,5,1,66,4,3,2
"culture",127.0660691,37.9424506,1,4125010900101620224,144100,40000,8,43,0,160,2,4,6,0,6,1,0,0,3,6,2,3,2,1,3,5,68,3,0,0
"culture",127.005005,37.212079,0,4159012500101879808,328900,12724,25,43,0,160,3,7,10,1,1,14,2,13,4,0,0,1,11,0,6,0,66,3,2,1
"culture",127.3374459,37.595598,0,4136036025101819904,604500,32837,8,64,0,160,2,7,7,0,1,0,0,0,3,1,0,3,1,0,2,8,36,10,0,0
"culture",127.2308497,37.6446062,0,4136010200104260096,550300,2774,8,43,13,160,2,7,8,2,20,58,7,98,6,1,7,0,56,3,0,1,266,39,29,10
"culture",127.244399,37.5463678,1,4136025023102369792,746000,2845,8,44,0,160,2,7,6,0,1,0,0,0,2,2,0,1,2,0,1,0,48,13,0,0
"culture",127.2270339,37.5684736,0,4136025022105039872,716100,1302,8,44,0,160,2,7,8,0,1,11,0,14,0,0,0,3,8,0,1,1,67,10,1,0
"culture",126.53298,37.07352,0,4159025923103920128,225100,3820,25,43,0,160,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"culture",126.597738,37.6081,0,4157025626115559936,332300,975.1,8,64,0,160,2,7,8,0,3,1,0,0,0,0,1,1,1,0,1,0,11,0,0,0
"culture",126.760913,37.596163,0,4157025324108930048,514800,812,8,43,0,110,2,7,10,2,4,16,2,5,1,0,3,2,19,2,5,1,36,4,5,2
"culture",126.538958,37.649977,0,4157034032102219776,178600,528,8,64,0,160,3,7,8,0,0,0,0,0,1,0,0,3,0,0,0,1,7,1,0,0
"culture",126.538711,37.650616,0,4157034032102320128,246400,651,8,64,0,310,2,7,8,0,0,0,0,0,1,0,0,3,0,0,0,1,5,1,0,0
"culture",126.574376,37.737557,0,4157035030108319744,271300,180,8,63,0,210,2,7,8,0,1,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0
"culture",126.700047,37.787631,0,4148032022116520448,755000,468,8,64,0,210,2,4,8,1,6,0,0,7,21,2,1,66,8,0,7,14,87,90,1,0
"culture",126.702097,37.786855,0,4148032022116520448,838000,459.5,8,64,0,210,2,4,8,1,5,0,0,7,21,3,1,67,6,0,7,13,61,90,1,0
"culture",126.686892,37.714857,0,4.148011500105e+18,668800,1143.9,9,33,0,410,2,2,7,0,7,2,0,2,6,0,8,14,2,0,1,3,75,41,0,1
"culture",126.976936,37.209202,0,4159025325100009984,489600,48506,10,43,0,160,3,7,6,2,13,19,3,36,20,4,4,3,36,1,2,3,273,15,11,8
"culture",126.916467,37.773774,0,4148035028105399808,162300,5085,8,64,0,160,3,4,8,0,0,0,0,0,2,1,0,1,1,0,4,5,23,2,0,0
"library",127.509708,37.831371,0,4.18203e+18,516400,2743,8,14,0,220,2,4,6,2,17,10,2,21,26,1,6,1,24,5,3,20,289,18,18,10
"library",127.4887552,37.6832798,0,4.18203e+18,217400,3671,5,43,0,220,3,7,6,2,8,3,3,2,0,1,2,0,27,2,1,8,73,11,3,4
"library",127.353047,37.8183076,0,4.18203e+18,77700,1875,1,42,0,160,2,7,8,1,7,11,3,7,2,3,2,1,17,3,2,16,153,12,5,4
"library",127.424182,37.739591,1,4.18203e+18,404000,4503,8,14,0,160,3,7,6,1,9,8,2,16,8,1,2,0,34,4,4,54,189,24,13,5
"library",126.901195,37.702518,0,4.12811e+18,1139000,1739,8,13,22,160,2,7,7,4,8,32,2,34,4,5,6,4,31,2,0,6,217,19,23,9
"library",126.894709,37.705803,0,4.12811e+18,1172000,8494,8,14,0,140,3,7,7,4,8,32,3,30,3,1,6,4,31,2,1,6,196,19,22,9
"library",126.90532,37.712299,0,4.12811e+18,1272000,20800.4,8,14,0,140,2,4,5,1,11,28,2,23,3,3,3,0,21,3,1,4,144,14,14,6
"library",126.862536,37.688013,0,4.12811e+18,1847000,2848,8,14,0,160,2,4,1,2,5,20,3,24,3,2,3,2,21,3,7,8,147,16,16,6
"library",126.876666,37.587101,0,4.12811e+18,1662000,1627,8,43,0,240,2,7,6,1,11,21,4,23,2,4,8,1,30,3,1,0,63,13,10,3
"library",126.893909,37.653145,1,4.12811e+18,2725000,368,8,13,0,330,2,1,2,3,12,21,3,13,3,3,5,0,62,5,0,1,153,23,15,6
"library",126.884854,37.648863,0,4.12811e+18,389400,8940.6,22,43,0,930,2,7,1,2,20,21,5,29,1,2,4,0,78,5,1,0,204,48,19,8
"library",126.838859,37.656294,1,4.12811e+18,1608000,4310,8,14,0,160,2,7,7,0,37,61,5,81,25,4,20,12,115,11,4,36,729,65,56,25
"library",126.886359,37.666383,0,4.12811e+18,389400,14983.1,22,43,0,930,2,0,5,1,6,12,3,14,0,1,2,0,13,0,2,0,109,16,11,5
"library",126.495854,37.393813,0,4.12811e+18,59000,101013,22,43,0,930,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"library",126.828338,37.620759,1,4.12811e+18,137000,57301,22,43,0,930,2,7,0,4,44,95,11,195,20,6,23,2,140,20,1,13,866,83,81,41
"library",126.843466,37.61479,2,4.12811e+18,1643000,1050.5,8,14,0,150,2,1,6,2,24,72,12,85,14,1,12,1,79,7,2,2,509,49,47,20
"library",126.841414,37.627322,0,4.12811e+18,2041000,51941,8,15,0,140,2,4,5,2,28,82,13,151,9,2,15,3,83,9,5,3,481,51,55,25
"library",126.838474,37.624831,0,4.12811e+18,2041000,55513.6,8,15,0,140,2,4,5,4,40,106,14,209,15,4,24,4,102,12,5,5,667,69,86,36
"library",126.872773,37.599469,1,4.12811e+18,1277000,826,8,13,0,160,2,7,6,1,7,6,3,1,3,5,3,1,12,4,1,1,56,7,0,3
"library",126.827599,37.628636,1,4.12811e+18,1856000,10582.8,8,14,0,160,2,2,2,4,46,96,11,271,24,7,32,4,142,6,1,15,896,101,120,47
"library",126.837104,37.637836,1,4.12811e+18,2063000,4149.3,8,14,0,160,2,4,4,3,37,52,10,173,21,4,32,3,86,7,0,9,758,91,84,33
"library",126.826303,37.632833,1,4.12811e+18,1965000,1002.1,8,14,0,160,2,3,4,2,45,64,9,215,22,7,30,4,125,8,0,11,790,87,87,33
"library",126.782057,37.666716,1,4.12851e+18,745800,36029.3,22,43,0,930,2,7,7,1,28,48,6,70,18,2,9,7,90,2,3,0,640,168,23,9
"library",126.781081,37.653332,2,4.12851e+18,745800,38777.3,22,43,0,930,2,7,0,2,53,53,8,371,37,0,40,4,145,9,0,5,1200,216,148,38
"library",126.774456,37.661486,1,4.12851e+18,2119000,43121.4,8,13,0,240,2,7,1,2,85,18,3,138,55,0,47,22,191,9,4,11,1758,362,104,28
"library",126.793626,37.647218,2,4.12851e+18,1695000,4347.7,8,43,0,160,2,4,1,2,48,43,5,131,15,3,22,3,105,4,0,10,798,130,63,29
"library",126.846436,37.699184,0,4.12851e+18,912700,19750,8,64,0,140,2,7,6,0,1,6,1,0,0,3,0,0,15,0,3,0,48,4,1,1
"library",126.768781,37.653846,2,4.12851e+18,297600,851810.5,22,43,0,930,2,4,5,2,63,12,1,138,47,2,46,25,132,6,2,9,1361,288,119,30
"library",126.797125,37.670728,1,4.12851e+18,745800,51110.8,22,43,0,930,4,5,1,3,22,54,9,70,10,9,9,0,59,2,3,2,361,69,29,10
"library",126.71985,37.687034,0,4.12871e+18,1445000,1622,8,14,0,160,2,2,4,1,6,34,4,35,4,1,5,0,32,1,3,0,123,11,9,3
"library",126.753942,37.681022,1,4.12871e+18,1377000,3943.8,8,43,0,240,2,2,1,4,35,60,8,115,29,4,24,4,116,8,0,16,571,76,67,32
"library",126.735397,37.672884,0,4.12871e+18,1590000,22072.3,8,14,0,140,2,7,5,0,7,21,5,27,23,0,7,8,31,6,0,0,91,14,8,3
"library",126.754554,37.702949,0,4.12871e+18,422400,50903,8,43,0,930,2,7,5,1,12,40,6,29,12,6,9,0,36,0,0,0,155,13,13,3
"library",126.776259,37.693557,0,4.12871e+18,742500,27167.2,22,43,0,930,2,2,1,3,31,89,11,89,18,8,15,0,88,9,1,9,638,57,49,15
"library",126.756504,37.668464,1,4.12871e+18,2164000,1500,8,15,0,160,2,2,1,4,48,68,9,210,26,0,39,15,157,7,6,6,837,157,129,49
"library",126.765549,37.700146,1,4.12871e+18,1571000,50514,8,15,0,140,2,7,2,4,15,62,7,47,13,5,18,3,53,2,0,7,291,48,39,14
